,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_warm_start,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_learning_rate,param_l2_regularization,param_early_stopping,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33,33,5.621744775772095,0.2797780487633111,0.3334161758422851,0.0319340700808481,True,15,45,9,0.2,0.1,True,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 9, 'learning_rate': 0.2, 'l2_regularization': 0.1, 'early_stopping': True}",0.78825,0.7895,0.782,0.78475,0.78675,0.78625,0.0026504716561397,1
14,14,5.366959476470948,0.3874046848225624,0.3181203365325927,0.020915520977764,True,10,40,8,0.2,0.0,True,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 40, 'max_depth': 8, 'learning_rate': 0.2, 'l2_regularization': 0.0, 'early_stopping': True}",0.7806875,0.785375,0.784625,0.7795,0.7816875,0.782375,0.0022648813434703,2
23,23,4.919686889648437,0.3391779144087025,0.3150036811828613,0.0257630194611337,False,20,30,7,0.2,0.1,False,"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 30, 'max_depth': 7, 'learning_rate': 0.2, 'l2_regularization': 0.1, 'early_stopping': False}",0.778125,0.77775,0.7768125,0.7741875,0.7745,0.776275,0.0016367841946939,3
39,39,4.478420543670654,0.2261002863904006,0.2868015766143799,0.0309999920878683,True,15,20,6,0.5,0.1,True,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 20, 'max_depth': 6, 'learning_rate': 0.5, 'l2_regularization': 0.1, 'early_stopping': True}",0.77175,0.7751875,0.775875,0.7703125,0.771125,0.7728499999999999,0.0022467337403439,4
44,44,5.586734485626221,0.278118007468786,0.3565195083618164,0.0355741224004102,True,30,35,10,0.1,0.5,False,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 35, 'max_depth': 10, 'learning_rate': 0.1, 'l2_regularization': 0.5, 'early_stopping': False}",0.7601875,0.76525,0.762,0.758875,0.761375,0.7615375,0.0021416990918427,5
22,22,5.450395679473877,0.2975797483465389,0.3757248401641845,0.0250177242312058,True,30,35,7,0.1,0.3,True,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 35, 'max_depth': 7, 'learning_rate': 0.1, 'l2_regularization': 0.3, 'early_stopping': True}",0.7545625,0.758875,0.75675,0.755,0.7583125,0.7567,0.0017200109011282,6
28,28,5.278612375259399,0.3594848813397616,0.3337563991546631,0.0215851046421893,False,30,30,9,0.1,0.3,True,"{'warm_start': False, 'min_samples_leaf': 30, 'max_leaf_nodes': 30, 'max_depth': 9, 'learning_rate': 0.1, 'l2_regularization': 0.3, 'early_stopping': True}",0.75175,0.7598125,0.7585,0.7523125,0.756875,0.7558499999999999,0.0032587862004126,7
35,35,5.027645349502564,0.2632002156260993,0.3345701217651367,0.0274876844377896,True,25,25,8,0.1,0.4,False,"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 25, 'max_depth': 8, 'learning_rate': 0.1, 'l2_regularization': 0.4, 'early_stopping': False}",0.746625,0.7525625,0.750625,0.7453125,0.749875,0.7489999999999999,0.002658418232709,8
30,30,6.225780487060547,0.3497823147024841,0.4377443790435791,0.0398948126938742,True,15,45,7,0.05,0.0,True,"{'warm_start': True, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 7, 'learning_rate': 0.05, 'l2_regularization': 0.0, 'early_stopping': True}",0.7410625,0.7439375,0.7414375,0.7420625,0.739625,0.741625,0.0014064583179035,9
2,2,6.261193704605103,0.5611038357749517,0.3991570949554443,0.0086354005919485,True,10,40,8,0.05,0.0,True,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 40, 'max_depth': 8, 'learning_rate': 0.05, 'l2_regularization': 0.0, 'early_stopping': True}",0.737875,0.746,0.740125,0.741875,0.7405,0.7412749999999999,0.0026895631615561,10
21,21,3.895116758346558,0.1916551856712136,0.287822151184082,0.0330925946147009,True,30,45,3,0.5,0.2,True,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 45, 'max_depth': 3, 'learning_rate': 0.5, 'l2_regularization': 0.2, 'early_stopping': True}",0.736,0.7406875,0.7393125,0.738,0.737625,0.738325,0.0015847909956836,11
46,46,4.748077774047852,0.2852243250938999,0.3550910472869873,0.0425688079259129,True,25,20,5,0.1,0.4,True,"{'warm_start': True, 'min_samples_leaf': 25, 'max_leaf_nodes': 20, 'max_depth': 5, 'learning_rate': 0.1, 'l2_regularization': 0.4, 'early_stopping': True}",0.7349375,0.7386875,0.7390625,0.7355625,0.7379375,0.7372375000000001,0.001674440204964,12
31,31,5.299089479446411,0.2578973060110124,0.3611061573028564,0.0262861998835373,True,10,35,5,0.05,0.0,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 35, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 0.0, 'early_stopping': False}",0.72425,0.7304375,0.7260625,0.72575,0.726,0.7264999999999999,0.0020770321374499,13
8,8,7.058032703399658,0.3467310972735934,0.4550498962402344,0.0204715500035074,False,10,40,9,0.02,0.1,True,"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 40, 'max_depth': 9, 'learning_rate': 0.02, 'l2_regularization': 0.1, 'early_stopping': True}",0.7215,0.727875,0.723875,0.7258125,0.7253125,0.7248750000000002,0.0021194781197266,14
7,7,6.662837934494019,0.2589530462952015,0.4434143543243408,0.0212036541737243,True,30,35,9,0.02,0.1,False,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 35, 'max_depth': 9, 'learning_rate': 0.02, 'l2_regularization': 0.1, 'early_stopping': False}",0.7186875,0.724875,0.7213125,0.7221875,0.7245625,0.722325,0.0022708753818736,15
5,5,5.422216987609863,0.268069267816622,0.3804135799407959,0.0309466502332573,True,20,45,5,0.02,0.2,True,"{'warm_start': True, 'min_samples_leaf': 20, 'max_leaf_nodes': 45, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 0.2, 'early_stopping': True}",0.7135,0.7189375,0.71475,0.716625,0.71825,0.7164125,0.0020515238238928,16
48,48,6.8317773818969725,0.2635985459685662,0.4562072277069092,0.0312955218107271,True,10,30,9,0.01,0.0,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 30, 'max_depth': 9, 'learning_rate': 0.01, 'l2_regularization': 0.0, 'early_stopping': False}",0.71375,0.7184375,0.71775,0.7144375,0.7174375,0.7163625,0.0018929969624909,17
18,18,6.091402053833008,0.3762035947039816,0.392165994644165,0.0040716873776404,True,10,20,9,0.01,0.1,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 20, 'max_depth': 9, 'learning_rate': 0.01, 'l2_regularization': 0.1, 'early_stopping': False}",0.710625,0.71675,0.7129375,0.7135,0.7146875,0.7137,0.0020176564375532,18
45,45,4.974785280227661,0.2871715613554785,0.3212006092071533,0.0274470693790159,False,20,45,4,0.02,0.0,False,"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 45, 'max_depth': 4, 'learning_rate': 0.02, 'l2_regularization': 0.0, 'early_stopping': False}",0.7096875,0.7141875,0.7124375,0.7119375,0.712375,0.712125,0.0014415703243338,19
12,12,3.2795974731445314,0.1958965292323387,0.2271304607391357,0.02798939375005,False,30,40,2,0.1,0.0,False,"{'warm_start': False, 'min_samples_leaf': 30, 'max_leaf_nodes': 40, 'max_depth': 2, 'learning_rate': 0.1, 'l2_regularization': 0.0, 'early_stopping': False}",0.701875,0.7070625,0.7035,0.7024375,0.7038125,0.7037374999999999,0.0018042484585001,20
43,43,3.656659984588623,0.15931195537214,0.239534044265747,0.0383407963057655,False,10,25,2,0.01,0.3,False,"{'warm_start': False, 'min_samples_leaf': 10, 'max_leaf_nodes': 25, 'max_depth': 2, 'learning_rate': 0.01, 'l2_regularization': 0.3, 'early_stopping': False}",0.6858125,0.67425,0.68,0.6839375,0.6796875,0.6807375,0.0039932364693316,21
