,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44,44,0.0454320907592773,0.0023986010782105,16.194253158569335,0.1292908230816313,distance,1,5,ball_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.8105625,0.80975,0.8054375,0.80225,0.806,0.8068,0.0030350556008086,1
48,48,0.0385468959808349,0.000911371571794,20.08750500679016,0.856617363439041,distance,1,5,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.8105625,0.80975,0.8054375,0.80225,0.806,0.8068,0.0030350556008086,1
21,21,0.0046999454498291,0.0002563850572101,2.949214172363281,0.0681853653595792,distance,1,5,brute,"{'weights': 'distance', 'p': 1, 'n_neighbors': 5, 'algorithm': 'brute'}",0.8105625,0.80975,0.8054375,0.80225,0.806,0.8068,0.0030350556008086,1
30,30,0.0383057117462158,0.0024469245324444,83.04747886657715,123.71039284867886,distance,1,7,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 7, 'algorithm': 'kd_tree'}",0.80925,0.8076875,0.8048125,0.7988125,0.8061875,0.80535,0.0035889587626496,4
28,28,0.0386724472045898,0.0009945792129205,25.30371279716492,1.0425889072156578,distance,1,9,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 9, 'algorithm': 'kd_tree'}",0.8084375,0.80475,0.801875,0.7975,0.800375,0.8025874999999999,0.0037465817754321,5
10,10,0.0052933692932128,0.0002823240830066,3.0528280258178717,0.0924830607809421,distance,1,9,brute,"{'weights': 'distance', 'p': 1, 'n_neighbors': 9, 'algorithm': 'brute'}",0.8084375,0.80475,0.801875,0.7975,0.800375,0.8025874999999999,0.0037465817754321,5
25,25,0.0378718376159668,0.0003382378092061,25.67507839202881,0.5547812761160418,distance,1,11,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 11, 'algorithm': 'kd_tree'}",0.8011875,0.798375,0.798,0.793625,0.7950625,0.79725,0.0026554778289415,7
37,37,0.0460087776184082,0.0031170433783418,19.642164850234984,1.0737505672541117,distance,1,11,ball_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 11, 'algorithm': 'ball_tree'}",0.8011875,0.798375,0.798,0.793625,0.7950625,0.79725,0.0026554778289415,7
20,20,0.044647216796875,0.0013788358273058,19.5735303401947,0.5038673982576024,distance,1,13,ball_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 13, 'algorithm': 'ball_tree'}",0.7959375,0.79375,0.7933125,0.789125,0.7905625,0.7925375,0.0024156391493764,9
9,9,0.0050234317779541,4.430107193438185e-05,3.094706964492798,0.0742461734304504,distance,1,13,brute,"{'weights': 'distance', 'p': 1, 'n_neighbors': 13, 'algorithm': 'brute'}",0.7959375,0.79375,0.7933125,0.789125,0.7905625,0.7925375,0.0024156391493764,9
2,2,0.0048195362091064,0.0002652559265291,2.9765757083892823,0.0475229187443026,uniform,1,5,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 5, 'algorithm': 'brute'}",0.79375,0.7913125,0.7911875,0.7848125,0.7911875,0.79045,0.0029833915264342,11
26,26,0.0380965709686279,0.0006083411507628,26.260965967178343,0.1698919786636264,distance,1,15,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15, 'algorithm': 'kd_tree'}",0.79075,0.7890625,0.789375,0.7834375,0.786625,0.78785,0.0025759100333668,12
23,23,0.0447780132293701,0.00210218036401,19.669847440719604,0.2488838428579311,distance,1,15,ball_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15, 'algorithm': 'ball_tree'}",0.79075,0.7890625,0.789375,0.7834375,0.786625,0.78785,0.0025759100333668,12
31,31,0.0047347068786621,0.0002326326888472,3.052929162979126,0.188429063568805,distance,1,17,brute,"{'weights': 'distance', 'p': 1, 'n_neighbors': 17, 'algorithm': 'brute'}",0.7848125,0.785,0.7858125,0.7795,0.781875,0.7834,0.0023626653381298,14
0,0,0.0051907062530517,0.0002119172700365,3.096104145050049,0.0932820635519837,distance,1,19,brute,"{'weights': 'distance', 'p': 1, 'n_neighbors': 19, 'algorithm': 'brute'}",0.7813125,0.781,0.7815625,0.7755,0.7799375,0.7798625,0.0022504860586104,15
8,8,0.0048801898956298,0.0003868934581466,2.9924087047576906,0.1149843497840899,uniform,1,7,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 7, 'algorithm': 'brute'}",0.7815,0.7818125,0.7755,0.7744375,0.777625,0.778175,0.0030237084019461,16
33,33,0.038724660873413,0.0019221739561808,25.4236442565918,1.6530032601067453,uniform,1,9,kd_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9, 'algorithm': 'kd_tree'}",0.7671875,0.7659375,0.761,0.7580625,0.75975,0.7623875,0.0035561126950646,17
32,32,0.004750633239746,5.02167713746238e-05,2.918734836578369,0.0543798939291755,uniform,1,9,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9, 'algorithm': 'brute'}",0.7671875,0.7659375,0.761,0.7580625,0.75975,0.7623875,0.0035561126950646,17
38,38,0.0046482563018798,0.0001628964927562,0.6376431941986084,0.0232437288581878,distance,2,5,brute,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'algorithm': 'brute'}",0.761375,0.7601875,0.7555,0.7548125,0.7526875,0.7569125,0.0033134668400332,19
1,1,0.0396320343017578,0.0022405590139911,14.090171337127686,0.4970818811505862,distance,2,5,kd_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'algorithm': 'kd_tree'}",0.761375,0.7601875,0.7555,0.7548125,0.7526875,0.7569125,0.0033134668400332,19
17,17,0.0438841342926025,0.0010717441081294,19.6802818775177,0.0793221063496879,distance,2,5,ball_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.761375,0.7601875,0.7555,0.7548125,0.7526875,0.7569125,0.0033134668400332,19
46,46,0.043715476989746,0.0010909979889307,19.44128017425537,0.3462898926375906,distance,2,7,ball_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.7558125,0.75475,0.752375,0.74625,0.7471875,0.7512749999999999,0.0038944271080609,22
11,11,0.0399159431457519,0.0018764781826129,27.409906721115117,1.607092981004006,uniform,1,11,kd_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11, 'algorithm': 'kd_tree'}",0.7545,0.7521875,0.749625,0.7460625,0.7471875,0.7499125,0.0031161374327843,23
42,42,0.0048841953277587,0.0001679996449113,2.9853163242340086,0.0535640248747227,uniform,1,11,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11, 'algorithm': 'brute'}",0.7545,0.7521875,0.749625,0.7460625,0.7471875,0.7499125,0.0031161374327843,23
16,16,0.0456995487213134,0.0014876576964489,19.26398768424988,1.216748940857785,uniform,1,11,ball_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11, 'algorithm': 'ball_tree'}",0.7545,0.7521875,0.749625,0.7460625,0.7471875,0.7499125,0.0031161374327843,23
40,40,0.044529390335083,0.0035108641117768,20.708821058273315,1.7270933008747886,distance,2,9,ball_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 9, 'algorithm': 'ball_tree'}",0.74875,0.7473125,0.7505,0.74075,0.7456875,0.7465999999999999,0.0033285225701502,26
12,12,0.0047899723052978,0.0002180501090711,0.6403794288635254,0.0101859203647843,distance,2,9,brute,"{'weights': 'distance', 'p': 2, 'n_neighbors': 9, 'algorithm': 'brute'}",0.74875,0.7473125,0.7505,0.74075,0.7456875,0.7465999999999999,0.0033285225701502,26
18,18,0.0450216770172119,0.0011966330341043,18.475448751449584,0.2268370198056463,uniform,1,13,ball_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'algorithm': 'ball_tree'}",0.744,0.7411875,0.741125,0.7398125,0.741375,0.7415,0.0013675936896607,28
45,45,0.0047766685485839,0.0002524552358925,2.927378940582275,0.0389594992009825,uniform,1,13,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'algorithm': 'brute'}",0.744,0.7411875,0.741125,0.7398125,0.741375,0.7415,0.0013675936896607,28
29,29,0.0376328945159912,0.0004284174860526,24.860073375701905,1.467898353577026,uniform,1,13,kd_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'algorithm': 'kd_tree'}",0.744,0.7411875,0.741125,0.7398125,0.741375,0.7415,0.0013675936896607,28
35,35,0.0046937465667724,0.0001915510714293,0.7460058212280274,0.0159642870061934,uniform,2,5,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'algorithm': 'brute'}",0.7396875,0.7355,0.7333125,0.7335625,0.7325625,0.7349249999999999,0.0025709920264365,31
41,41,0.0434083938598632,0.0019445696840929,20.10021367073059,1.2005385600666865,uniform,2,5,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.7396875,0.7355,0.7333125,0.7335625,0.7325625,0.7349249999999999,0.0025709920264365,31
39,39,0.0448588848114013,0.001018345054493,21.71565976142883,1.609182281144523,uniform,1,15,ball_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 15, 'algorithm': 'ball_tree'}",0.7356875,0.7355625,0.732625,0.73125,0.7336875,0.7337625000000001,0.0017063301263237,33
49,49,0.0378076076507568,0.0003482905430667,17.79541668891907,0.3917967686308243,distance,2,15,kd_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 15, 'algorithm': 'kd_tree'}",0.7328125,0.729375,0.7295625,0.7265625,0.728875,0.7294375,0.0019996093368455,34
