,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_lambda_l2,param_lambda_l1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,22.113337564468384,0.8574997728400489,3.5157470226287844,0.6715143708923944,1,500,10,0.3,0,10,"{'subsample': 1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.3, 'lambda_l2': 0, 'lambda_l1': 10}",0.80025,0.802125,0.7965625,0.7915625,0.7960625,0.7973125,0.003659960723832991,1
13,19.485222339630127,0.6662128696173699,2.94752721786499,0.23383845168374312,1,500,5,0.3,50,0,"{'subsample': 1, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.3, 'lambda_l2': 50, 'lambda_l1': 0}",0.7949375,0.7984375,0.7904375,0.7861875,0.7914375,0.7922874999999999,0.004152107898405327,2
20,20.880043268203735,2.045969535639279,3.551903820037842,0.6806477154161782,0.8,500,15,0.1,50,0,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 15, 'learning_rate': 0.1, 'lambda_l2': 50, 'lambda_l1': 0}",0.777875,0.7840625,0.7771875,0.7715625,0.7788125,0.7779,0.00398701015800059,3
8,27.077234315872193,0.373910859818244,1.3872450828552245,0.13883900863507018,0.6,1000,10,0.3,20,20,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.3, 'lambda_l2': 20, 'lambda_l1': 20}",0.7728125,0.7795,0.7689375,0.764125,0.7720625,0.7714875,0.005039748257601732,4
28,46.81708393096924,1.660182306743596,6.518170499801636,0.5786035606721278,0.6,1000,15,0.05,30,20,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 15, 'learning_rate': 0.05, 'lambda_l2': 30, 'lambda_l1': 20}",0.762,0.765875,0.76,0.75325,0.762875,0.7607999999999999,0.004222410449020796,5
19,5.300674915313721,0.8627784037329025,0.4298140048980713,0.0812899529747013,1,100,10,0.3,0,20,"{'subsample': 1, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.3, 'lambda_l2': 0, 'lambda_l1': 20}",0.7563125,0.7611875,0.757,0.74925,0.763,0.75735,0.004763566153629035,6
12,25.856822204589843,1.7842386931140637,4.114949560165405,0.8148674075067742,0.6,500,10,0.05,10,20,"{'subsample': 0.6, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.05, 'lambda_l2': 10, 'lambda_l1': 20}",0.7513125,0.753875,0.7506875,0.74275,0.752,0.7501249999999999,0.003839148668650368,7
15,27.599738359451294,0.7564886723399095,2.0137991428375246,0.3935921138131592,0.8,1000,10,0.1,0,30,"{'subsample': 0.8, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.1, 'lambda_l2': 0, 'lambda_l1': 30}",0.7405,0.745875,0.741,0.735,0.7453125,0.7415375,0.0039285811688190946,8
4,28.690401077270508,0.8641010936515335,2.0165380954742433,0.6799765913420858,0.8,1000,15,0.1,10,30,"{'subsample': 0.8, 'n_estimators': 1000, 'max_depth': 15, 'learning_rate': 0.1, 'lambda_l2': 10, 'lambda_l1': 30}",0.7405,0.744625,0.7428125,0.7339375,0.745625,0.7415,0.004164019992747376,9
10,28.18160433769226,1.160942248952315,1.854558563232422,0.21563463783757292,0.6,1000,20,0.1,0,30,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 20, 'learning_rate': 0.1, 'lambda_l2': 0, 'lambda_l1': 30}",0.7418125,0.745125,0.7415625,0.7331875,0.74475,0.7412875,0.004305265671244936,10
