,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,21,34.16906771659851,0.596450249063663,0.7609432220458985,0.0623507442263875,150,sqrt,50,gini,"{'n_estimators': 150, 'max_features': 'sqrt', 'max_depth': 50, 'criterion': 'gini'}",0.8246875,0.8224375,0.821,0.824,0.822125,0.8228499999999999,0.0013279448407219,1
10,10,34.07861676216125,0.5646129679604652,0.7411872863769531,0.0285316506525369,150,log2,40,gini,"{'n_estimators': 150, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini'}",0.8250625,0.8195625,0.818875,0.8251875,0.8216875,0.8220750000000001,0.0026576540406907,2
37,37,34.84529981613159,0.456574734014327,0.8493506431579589,0.0738000212847035,150,log2,50,gini,"{'n_estimators': 150, 'max_features': 'log2', 'max_depth': 50, 'criterion': 'gini'}",0.8243125,0.8190625,0.8191875,0.8240625,0.8206875,0.8214625,0.0022986409027945,3
34,34,27.95047335624695,0.1390274127737046,0.4788488388061523,0.006213460179623,100,log2,50,entropy,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 50, 'criterion': 'entropy'}",0.825625,0.8194375,0.8189375,0.8235,0.8190625,0.8213125,0.0027423188180807,4
22,22,23.17769765853882,0.4600363395626507,0.522286319732666,0.0371295595811793,100,sqrt,40,gini,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 40, 'criterion': 'gini'}",0.82325,0.818125,0.81825,0.8229375,0.81775,0.8200625,0.0024824383174612,5
44,44,11.320612668991089,0.3369634957207795,0.2053712844848632,0.0128483310390002,40,log2,40,entropy,"{'n_estimators': 40, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'entropy'}",0.821875,0.81475,0.8159375,0.821125,0.815375,0.8178124999999999,0.0030434355587066,6
1,1,11.849023056030273,1.198318946927556,0.2040713787078857,0.0171327309369345,40,sqrt,50,log_loss,"{'n_estimators': 40, 'max_features': 'sqrt', 'max_depth': 50, 'criterion': 'log_loss'}",0.8166875,0.8155625,0.8144375,0.82075,0.81425,0.8163375,0.00237322301944,7
47,47,194.59093084335328,1.3631558954021694,0.6965861320495605,0.0526619715352861,150,,50,gini,"{'n_estimators': 150, 'max_features': None, 'max_depth': 50, 'criterion': 'gini'}",0.8193125,0.8155,0.8129375,0.8175625,0.811875,0.8154375,0.0027740426276465,8
7,7,191.8523431777954,0.6169947401540814,0.7202183723449707,0.0541295357177211,150,,40,gini,"{'n_estimators': 150, 'max_features': None, 'max_depth': 40, 'criterion': 'gini'}",0.8194375,0.8146875,0.8125,0.8161875,0.8105,0.8146625000000001,0.0030701689692914,9
35,35,128.7273660182953,1.2455339075149294,0.4431203365325927,0.0030015210383681,100,,40,gini,"{'n_estimators': 100, 'max_features': None, 'max_depth': 40, 'criterion': 'gini'}",0.8205625,0.8123125,0.8128125,0.8153125,0.8113125,0.8144625,0.0033226495451672,10
9,9,128.27416229248047,1.0080378968879378,0.4892672538757324,0.0417328889831852,100,,50,gini,"{'n_estimators': 100, 'max_features': None, 'max_depth': 50, 'criterion': 'gini'}",0.8190625,0.8133125,0.8104375,0.8151875,0.8115,0.8139,0.003046411823769,11
48,48,221.35170178413392,1.1505673223192685,0.6661552429199219,0.0533073758626664,150,,50,entropy,"{'n_estimators': 150, 'max_features': None, 'max_depth': 50, 'criterion': 'entropy'}",0.81825,0.81475,0.810375,0.8153125,0.809,0.8135375,0.0033887682127876,12
20,20,220.07259154319763,1.1906774888549332,0.6418509483337402,0.0537098466585191,150,,40,log_loss,"{'n_estimators': 150, 'max_features': None, 'max_depth': 40, 'criterion': 'log_loss'}",0.817,0.813625,0.80975,0.813875,0.810625,0.812975,0.0025828763036583,13
24,24,146.20767822265626,0.7613698171292815,0.4239967346191406,0.0289715128210703,100,,50,log_loss,"{'n_estimators': 100, 'max_features': None, 'max_depth': 50, 'criterion': 'log_loss'}",0.8173125,0.8125,0.8104375,0.8149375,0.8089375,0.8128249999999999,0.0030172421182265,14
25,25,51.23251037597656,0.5101097936980251,0.1857605934143066,0.0134545301426262,40,,40,gini,"{'n_estimators': 40, 'max_features': None, 'max_depth': 40, 'criterion': 'gini'}",0.813125,0.8069375,0.8070625,0.8125625,0.8104375,0.8100250000000001,0.0026278555896395,15
38,38,37.94798345565796,0.5702380337152327,0.6202087879180909,0.0410062169605256,150,log2,20,log_loss,"{'n_estimators': 150, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'log_loss'}",0.808,0.8034375,0.8024375,0.808875,0.803375,0.8052250000000001,0.0026612379638055,16
15,15,30.66225552558899,0.2778174720378196,0.6165853977203369,0.0456968334254923,150,sqrt,20,gini,"{'n_estimators': 150, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini'}",0.8089375,0.803,0.8031875,0.80725,0.80325,0.8051250000000001,0.0024833822702113,17
49,49,20.384292984008788,0.4440468498924693,0.4176032543182373,0.033708956165832,100,log2,20,gini,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini'}",0.80875,0.8014375,0.8033125,0.8041875,0.8015,0.8038375,0.0026741236882388,18
43,43,25.626345014572145,0.3067455392748126,0.4241418361663818,0.0330933443249324,100,sqrt,20,entropy,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy'}",0.808625,0.8015,0.801625,0.8061875,0.8005,0.8036875,0.0031568378165499,19
