,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,115.59550719261169,1.0571334370362846,0.21049051284790038,0.015918945651549863,1e-05,1e-05,450,15,0.1,0.2,0.5,"{'reg_lambda': 1e-05, 'reg_alpha': 1e-05, 'n_estimators': 450, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.5}",0.8304375,0.83,0.8275625,0.8225,0.8233125,0.8267625000000001,0.003307519841210329,1
22,95.75738201141357,2.645759339613661,0.1965719223022461,0.02945006965602925,1e-05,0.1,350,18,0.1,0.4,0.7,"{'reg_lambda': 1e-05, 'reg_alpha': 0.1, 'n_estimators': 350, 'max_depth': 18, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.8296875,0.829875,0.82625,0.823,0.8223125,0.826225,0.0031943798302644178,2
32,109.65763249397278,0.856163797230095,0.3000237464904785,0.07043913831990394,1e-05,1,450,18,0.1,0.4,0.4,"{'reg_lambda': 1e-05, 'reg_alpha': 1, 'n_estimators': 450, 'max_depth': 18, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.4}",0.8285625,0.826875,0.8279375,0.8238125,0.820875,0.8256125000000001,0.0028770101668224913,3
13,59.721554327011106,2.0096400851256973,0.19173922538757324,0.018516098773313297,0.1,0.1,350,15,0.1,0.4,0.3,"{'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 350, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.3}",0.8290625,0.8276875,0.824625,0.8228125,0.8210625,0.8250500000000001,0.002971321254930216,4
42,25.58402624130249,0.14670928243936224,0.07813177108764649,0.009882129538137422,0.01,0.1,100,15,0.1,0.2,0.8,"{'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.8233125,0.8244375,0.822625,0.8175,0.818375,0.82125,0.0027796694947421576,5
43,88.49395270347595,3.667495951128125,0.20966176986694335,0.08732974875506139,1,1,450,12,0.1,0.3,0.7,"{'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 450, 'max_depth': 12, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.82475,0.8228125,0.8210625,0.817875,0.8175,0.8208,0.0027988278796667555,6
38,75.78705134391785,2.305358696733285,0.15064945220947265,0.013629480965673922,10,0.1,400,12,0.1,0.4,0.8,"{'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 400, 'max_depth': 12, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.8}",0.821375,0.81925,0.817875,0.8178125,0.8168125,0.8186249999999999,0.0015786663675393577,7
48,86.0802891254425,3.1434580428211345,0.6625221729278564,0.1838621709219152,0.01,0.01,250,18,0.001,0.4,0.5,"{'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 250, 'max_depth': 18, 'learning_rate': 0.001, 'gamma': 0.4, 'colsample_bytree': 0.5}",0.8199375,0.817,0.8154375,0.8144375,0.8113125,0.815625,0.002847147695501577,8
19,91.71912755966187,3.2541290049848874,0.22671012878417968,0.022739614568830297,100,0.01,350,15,1,0.0,0.9,"{'reg_lambda': 100, 'reg_alpha': 0.01, 'n_estimators': 350, 'max_depth': 15, 'learning_rate': 1, 'gamma': 0.0, 'colsample_bytree': 0.9}",0.8154375,0.8158125,0.8155,0.812625,0.81,0.8138750000000001,0.0022545093701291114,9
1,118.00189313888549,7.907390141019625,0.1343250274658203,0.022329425187874,100,1,450,18,1,0.1,0.6,"{'reg_lambda': 100, 'reg_alpha': 1, 'n_estimators': 450, 'max_depth': 18, 'learning_rate': 1, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.80675,0.8094375,0.8046875,0.805,0.8061875,0.8064125000000001,0.0016903217149406829,10
41,27.95476589202881,0.5899077128097383,0.06113882064819336,0.007838234312837242,1,10,100,18,0.1,0.2,0.8,"{'reg_lambda': 1, 'reg_alpha': 10, 'n_estimators': 100, 'max_depth': 18, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.80375,0.802125,0.802625,0.7999375,0.7989375,0.8014749999999999,0.0017733266760526754,11
