Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,EMI_Income_Ratio,auto loan,credit-builder loan,home equity loan,student loan,payday loan,personal loan,mortgage loan,debt consolidation loan,not specified,No Data,Credit_Score
1,23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3.0,7.0,11.27,4.0,1,809.98,26.822619623699016,265.0,1,49.57494921489417,80.41529543900253,2,312.49408867943663,0.027166687851684537,1,1,1,0,0,1,0,0,0,0,0
2,23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,-1.0,4.0,11.27,4.0,1,809.98,31.94496005538421,266.0,1,49.57494921489417,118.28022162236736,3,284.62916249607184,0.027166687851684537,1,1,1,0,0,1,0,0,0,0,0
3,23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3.0,7.0,11.27,4.0,1,809.98,28.60935202206993,267.0,1,49.57494921489417,81.699521264648,4,331.2098628537912,0.027166687851684537,1,1,1,0,0,1,0,0,0,0,0
4,23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,5.0,4.0,6.27,4.0,1,809.98,31.377861869582357,268.0,1,49.57494921489417,199.4580743910713,5,223.45130972736786,0.027166687851684537,1,1,1,0,0,1,0,0,0,0,0
5,23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,6.0,4.0,11.27,4.0,1,809.98,24.797346908844982,269.0,1,49.57494921489417,41.420153086217326,1,341.48923103222177,0.027166687851684537,1,1,1,0,0,1,0,0,0,0,0
6,23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,8.0,4.0,9.27,4.0,1,809.98,27.26225871052017,270.0,1,49.57494921489417,62.430172331195294,1,340.4792117872438,0.027166687851684537,1,1,1,0,0,1,0,0,0,0,0
7,23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3.0,8.0,11.27,4.0,1,809.98,22.53759303178384,271.0,1,49.57494921489417,178.3440674122349,5,244.5653167062043,0.027166687851684537,1,1,1,0,0,1,0,0,0,0,0
8,23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3.0,6.0,11.27,4.0,1,809.98,23.93379480196552,272.0,1,49.57494921489417,24.785216509052056,1,358.12416760938714,0.027166687851684537,1,1,1,0,0,1,0,0,0,0,2
1,28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,4.0,5.42,2.0,1,605.03,24.46403063758457,319.0,1,18.816214573128885,104.291825168246,5,470.69062692529184,0.006193646199828248,0,1,0,0,0,0,0,0,0,0,2
2,28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,7.0,1.0,7.42,2.0,1,605.03,38.550848433956325,320.0,1,18.816214573128885,40.39123782853101,0,484.5912142650067,0.006193646199828248,0,1,0,0,0,0,0,0,0,0,0
